Date,Open,High,Low,Close,Adj Close,Volume
2007-12-14,2587.906982,2616.661377,2616.661377,2616.661377,2616.661377,2825957
2007-12-17,2616.661377,2587.906982,2587.906982,2587.906982,2587.906982,3033217
2007-12-18,2587.906982,2659.793213,2659.793213,2659.793213,2659.793213,3622350
2007-12-19,2731.679443,2789.188477,2789.188477,2789.188477,2789.188477,7559115
2007-12-20,2789.188477,2702.925049,2702.925049,2702.925049,2702.925049,3652588
2007-12-21,2659.793213,2702.925049,2702.925049,2702.925049,2702.925049,3969065
2007-12-24,2746.056641,2731.679443,2731.679443,2731.679443,2731.679443,5804961
2007-12-25,2731.679443,2702.925049,2702.925049,2702.925049,2702.925049,3806653
2007-12-26,2616.661377,2702.925049,2702.925049,2702.925049,2702.925049,5483607
2007-12-27,2702.925049,2702.925049,2702.925049,2702.925049,2702.925049,2994273
2007-12-28,2702.925049,2731.679443,2731.679443,2731.679443,2731.679443,2837086
2007-12-31,null,null,null,null,null,null
2008-01-01,null,null,null,null,null,null
2008-01-02,2731.679443,2746.056641,2746.056641,2746.056641,2746.056641,6077253
2008-01-03,2774.811279,2760.434082,2760.434082,2760.434082,2760.434082,5995178
2008-01-04,2789.188477,2789.188477,2789.188477,2789.188477,2789.188477,7693705
2008-01-07,2817.943115,2832.320313,2832.320313,2832.320313,2832.320313,15101592
2008-01-08,2832.320313,2961.715576,2961.715576,2961.715576,2961.715576,12677631
2008-01-09,2961.715576,3105.488281,3105.488281,3105.488281,3105.488281,20725062
2008-01-10,3076.733643,3076.733643,3076.733643,3076.733643,3076.733643,16559094
2008-01-11,3047.979248,3047.979248,3047.979248,3047.979248,3047.979248,16260712
2008-01-14,3076.733643,3047.979248,3047.979248,3047.979248,3047.979248,9844313
2008-01-15,2990.470215,2904.206543,2904.206543,2904.206543,2904.206543,10652532
2008-01-16,2961.715576,3019.224609,3019.224609,3019.224609,3019.224609,15370774
2008-01-17,2990.470215,2875.452148,2875.452148,2875.452148,2875.452148,5523271
2008-01-18,2817.943115,2932.961182,2932.961182,2932.961182,2932.961182,4909455
2008-01-21,2904.206543,2875.452148,2875.452148,2875.452148,2875.452148,2470538
2008-01-22,2789.188477,2789.188477,2789.188477,2789.188477,2789.188477,2895502
2008-01-23,2760.434082,2659.793213,2659.793213,2659.793213,2659.793213,4162420
2008-01-24,2760.434082,2674.170410,2674.170410,2674.170410,2674.170410,3308296
